model,domain,task,organization,authors,publication_date,reference,link,citations,notability_criteria,parameters,training_compute_(flop),training_dataset_size_(gradients),training_time_(hours),training_hardware,approach,confidence,epochs,model_accessibility,country,base_model,finetune_compute_(flop),hardware_quantity,last_modified,training_cloud_compute_vendor,batch_size,organization_categorization,foundation_model,training_chip-hours,training_code_accessibility,possibly_over_1e23_flop,training_compute_cost_(2023_usd),frontier_model,training_power_draw_(w),training_compute_estimation_method,year,era,notable_model,country_first,domain_group,export_controls_sum,publication_count
Odyssey 102B,Biology,"Protein or nucleotide language model (pLM/nLM),Protein generation",Anthrogen,"Ankit Singhal, Shyam Venkatasubramanian, Sean Moushegian, Steven Strutt, Michael Lin, Connor Lee",2025-10-18,Odyssey: reconstructing evolution through emergent consensus in the global proteome,https://www.biorxiv.org/content/10.1101/2025.10.15.682677v1,,,102000000000.0,1.1e+23,,,,,Confident,,Unreleased,United States,,,,2025-10-20 17:25:36+00:00,,,Industry,False,,Unreleased,False,,False,,Reported,2025,Deep learning era,False,United States,Biology,31.0,12.493526880374354
Odyssey 12B,Biology,"Protein or nucleotide language model (pLM/nLM),Protein generation",Anthrogen,"Ankit Singhal, Shyam Venkatasubramanian, Sean Moushegian, Steven Strutt, Michael Lin, Connor Lee",2025-10-18,Odyssey: reconstructing evolution through emergent consensus in the global proteome,https://www.biorxiv.org/content/10.1101/2025.10.15.682677v1,,,12000000000.0,,,,,,Confident,,Unreleased,United States,,,,2025-10-20 17:25:24+00:00,,,Industry,False,,Unreleased,False,,False,,Reported,2025,Deep learning era,False,United States,Biology,31.0,12.493526880374354
Odyssey 1.2B,Biology,"Protein or nucleotide language model (pLM/nLM),Protein generation",Anthrogen,"Ankit Singhal, Shyam Venkatasubramanian, Sean Moushegian, Steven Strutt, Michael Lin, Connor Lee",2025-10-18,Odyssey: reconstructing evolution through emergent consensus in the global proteome,https://www.biorxiv.org/content/10.1101/2025.10.15.682677v1,,,1200000000.0,,,,,,Confident,,Unreleased,United States,,,,2025-10-20 17:25:21+00:00,,,Industry,False,,Unreleased,False,,False,,Reported,2025,Deep learning era,False,United States,Biology,31.0,12.493526880374354
Claude Haiku 4.5,Language,"Chat,Code generation,Language modeling/generation,Question answering",Anthropic,Unknown,2025-10-15,Introducing Claude Haiku 4.5,https://www.anthropic.com/news/claude-haiku-4-5,,,,,,,,,Unknown,,API access,United States,,,,2025-10-20 14:18:58+00:00,,,Industry,False,,Unreleased,False,,False,,,2025,Deep learning era,False,United States,Language,31.0,12.493526880374354
Veo 3.1,"Video,Vision","Image-to-video,Video generation,Text-to-video,Audio generation",Google DeepMind,Unknown,2025-10-15,Introducing Veo 3.1 and advanced capabilities in Flow,https://blog.google/technology/ai/veo-updates-flow/,,SOTA improvement,,,,,,,Unknown,,API access,Multinational,,,,2025-10-16 17:07:34+00:00,,,Industry,False,,Unreleased,False,,False,,,2025,Deep learning era,True,United States,Vision,31.0,12.493526880374354
MAI-Image-1,Image generation,"Image generation,Text-to-image",Microsoft,Unknown,2025-10-13,"Introducing MAI-Image-1, debuting in
the top 10 on LMArena",https://microsoft.ai/news/introducing-mai-image-1-debuting-in-the-top-10-on-lmarena/,,,,,,,NVIDIA GB200 NVL2 (per GPU),,Unknown,,Hosted access (no API),Multinational,,,,2025-10-16 16:36:52+00:00,,,Industry,False,,Unreleased,False,,False,,,2025,Deep learning era,False,United States,Vision,31.0,12.493526880374354
C2S-Scale,"Language,Biology","Cell Biology,RNA sequence generation,Language modeling/generation,Question answering","Google Research,Yale University,Google DeepMind,Brown University,University of Southern California","Syed Asad Rizvi, Daniel Levine, Aakash Patel, Shiyang Zhang, Eric Wang, Curtis Jamison Perry, Nicole Mayerli Constante, Sizhuang He, David Zhang, Cerise Tang, Zhuoyang Lyu, Rayyan Darji, Chang Li, Emily Sun, David Jeong, Lawrence Zhao, Jennifer Kwan, David Braun, Brian Hafler, Hattie Chung, Rahul M. Dhodapkar, Bryan Perozzi, Jeffrey Ishizuka, Shekoofeh Azizi, David van Dijk",2025-10-11,Scaling Large Language Models for Next-Generation Single-Cell Analysis,https://www.biorxiv.org/content/10.1101/2025.04.14.648850v2,,,27000000000.0,,1000000000.0,,Google TPU v4,,Likely,,Open weights (unrestricted),Multinational,Gemma 2 27B,1.62e+20,256.0,2025-10-16 18:04:34+00:00,,,"Academia, Industry",False,,Unreleased,False,,False,84997.92421707121,Operation counting,2025,Deep learning era,False,Multinational,Multimodal,,
Ring-1T,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation",Ant Group,Unknown,2025-10-10,"Ring-1T, flow state leads to sudden enlightenment",https://huggingface.co/inclusionAI/Ring-1T,,,1000000000000.0,,,,,,Confident,,Open weights (unrestricted),China,Ling-1T,,,2025-10-16 15:54:46+00:00,,,Industry,False,,Unreleased,False,,False,,,2025,Deep learning era,False,China,Language,2.0,34.84465752823738
Ling-1T,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Mathematical reasoning",Ant Group,Unknown,2025-10-10,Ling-1T,https://huggingface.co/inclusionAI/Ling-1T,,SOTA improvement,1000000000000.0,6.000001e+24,20000000000000.0,,,,Confident,,Open weights (unrestricted),China,,,,2025-10-16 15:49:57+00:00,,,Industry,False,,Unreleased,False,,False,,Operation counting,2025,Deep learning era,True,China,Language,2.0,34.84465752823738
Grok Imagine,"Image generation,Video","Image generation,Video generation,Text-to-image,Text-to-video,Image-to-image,Image-to-video",xAI,Unknown,2025-10-08,Turn wild ideas into viral content with Grok Imagine,https://grokimagine.ai/,,,,,,,,,Unknown,,Hosted access (no API),United States,,,,2025-10-17 17:05:30+00:00,,,Industry,False,,Unreleased,False,,False,,,2025,Deep learning era,False,United States,Vision,31.0,12.493526880374354
